Rk,Player,Nation,Pos,Squad,Comp,Age_x,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Age_y,Club,PrimaryPosition,SecondaryPosition,ThirdPosition,Height_cm,Nationality
94,Ilyas Ansah,de GER,"MF,FW",Union Berlin,de Bundesliga,20.0,2004.0,6,5,402.0,4.5,4,0,4,4,0,0,0,0,0.9,0.9,0.3,1.3,11,10,21,0.9,0.29,94,de GER,"MF,FW",de Bundesliga,20-332,2004.0,4.5,4,8,4,50.0,1.79,0.9,0.5,1.0,17.2,0,0,0,0.9,0.9,0.12,3.1,3.1,94,de GER,"MF,FW",de Bundesliga,20-332,2004.0,4.5,49,67,73.1,708,140,0,0.3,0.3,-0.3,4,4,2,0,10,94,de GER,"MF,FW",de Bundesliga,20-332,2004.0,4.5,67,66,1,0,0,1,8,1,0,0,0,0,49,0,4,94,de GER,"MF,FW",de Bundesliga,20-332,2004.0,4.5,6,1.34,5,0,0,0,1,0,3,0.67,94,de GER,"MF,FW",de Bundesliga,20-332,2004.0,4.5,3,2,2,0,1,3,33.3,2,2,0,2,1,4,4,0,94,de GER,"MF,FW",de Bundesliga,20-332,2004.0,4.5,137,3,15,54,74,17,137,22,14,63.6,8,36.4,83,508,219,11,7,5,24,16,92,21,117,de GER,"MF,FW",de Bundesliga,20-332,2004.0,6,402.0,67,74.4,4.5,5,75.0,0,1,27.0,0,1.17,8,6,2,0.45,5.01,5.9,7.7,-1.8,-0.41,94,de GER,"MF,FW",de Bundesliga,20-332,2004.0,4.5,0,0,0,5,4,2,8,1,2,0,0,0,11,3,12,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,SC Paderborn,ST,LW,-,193,Germany
404,Sidiki Cherif,fr FRA,"FW,MF",Angers,fr Ligue 1,18.0,2006.0,7,5,376.0,4.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,10,5,25,0.0,0.15,404,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,4.2,0,11,3,27.3,2.63,0.72,0.0,0.0,16.5,0,0,0,0.6,0.6,0.06,-0.6,-0.6,404,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,4.2,46,71,64.8,732,146,0,0.0,0.2,0.0,0,5,0,0,5,404,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,4.2,71,71,0,0,1,0,5,0,0,0,0,0,46,0,7,404,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,4.2,4,0.96,2,0,1,0,1,0,0,0.0,404,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,4.2,3,0,1,2,0,3,66.7,1,5,0,5,2,5,0,0,404,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,4.2,129,2,24,61,47,14,129,15,4,26.7,11,73.3,80,644,277,10,7,1,13,6,87,25,493,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,7,376.0,54,59.7,4.2,5,64.0,0,2,29.0,0,0.71,2,8,-6,-1.44,-0.73,3.8,7.4,-3.7,-0.88,404,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,4.2,1,0,0,5,5,1,5,2,0,0,0,0,15,1,3,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,Angers SCO,ST,LW,-,185,France
682,Rayan Fofana,fr FRA,FW,Lens,fr Ligue 1,19.0,2006.0,7,4,375.0,4.2,2,0,2,2,0,0,0,0,2.1,2.1,0.1,2.2,7,2,27,0.48,0.53,682,fr FRA,FW,fr Ligue 1,19-236,2006.0,4.2,2,17,5,29.4,4.08,1.2,0.12,0.4,15.5,0,0,0,2.1,2.1,0.13,-0.1,-0.1,682,fr FRA,FW,fr Ligue 1,19-236,2006.0,4.2,47,67,70.1,577,48,0,0.1,0.1,-0.1,2,0,0,0,2,682,fr FRA,FW,fr Ligue 1,19-236,2006.0,4.2,67,58,8,0,0,0,1,1,0,0,0,0,47,1,2,682,fr FRA,FW,fr Ligue 1,19-236,2006.0,4.2,12,2.88,5,0,4,2,1,0,1,0.24,682,fr FRA,FW,fr Ligue 1,19-236,2006.0,4.2,4,2,3,0,1,1,100.0,0,7,1,6,2,6,4,0,682,fr FRA,FW,fr Ligue 1,19-236,2006.0,4.2,141,4,12,69,63,28,141,12,5,41.7,6,50.0,76,451,214,7,3,7,13,7,97,27,833,fr FRA,FW,fr Ligue 1,19-236,2006.0,7,375.0,54,59.5,4.2,4,68.0,0,3,35.0,0,1.86,7,4,3,0.72,0.37,8.7,7.3,1.4,0.33,682,fr FRA,FW,fr Ligue 1,19-236,2006.0,4.2,0,0,0,4,17,2,1,2,2,1,0,0,6,7,11,38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,RC Lens,ST,RW,-,185,France
757,Giovane,br BRA,FW,Hellas Verona,it Serie A,21.0,2003.0,6,6,489.0,5.4,0,1,1,0,0,0,1,0,1.2,1.2,0.9,2.0,16,15,35,0.18,0.37,757,br BRA,FW,it Serie A,21-316,2003.0,5.4,0,20,12,60.0,3.68,2.21,0.0,0.0,19.4,0,0,0,1.2,1.2,0.06,-1.2,-1.2,757,br BRA,FW,it Serie A,21-316,2003.0,5.4,78,120,65.0,1120,205,1,0.9,0.4,0.1,7,5,2,0,15,757,br BRA,FW,it Serie A,21-316,2003.0,5.4,120,114,5,0,4,1,3,0,0,0,0,0,78,1,5,757,br BRA,FW,it Serie A,21-316,2003.0,5.4,21,3.87,10,1,5,2,3,0,2,0.37,757,br BRA,FW,it Serie A,21-316,2003.0,5.4,5,4,0,3,2,2,100.0,0,6,1,5,0,5,3,0,757,br BRA,FW,it Serie A,21-316,2003.0,5.4,204,3,10,80,117,31,204,17,8,47.1,7,41.2,119,850,375,16,8,8,22,9,138,35,923,br BRA,FW,it Serie A,21-316,2003.0,6,489.0,82,90.6,5.4,6,82.0,3,0,,0,0.5,2,8,-6,-1.1,0.66,6.1,7.3,-1.2,-0.21,757,br BRA,FW,it Serie A,21-316,2003.0,5.4,1,0,0,4,6,1,3,0,4,0,0,0,19,7,33,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Corinthians,ST,RW,-,184,Brazil
983,Mateo Joseph,es ESP,"FW,MF",Mallorca,es La Liga,21.0,2003.0,7,4,399.0,4.4,0,1,1,0,0,0,0,0,1.4,1.4,0.1,1.5,8,4,21,0.23,0.34,983,es ESP,"FW,MF",es La Liga,21-352,2003.0,4.4,0,10,3,30.0,2.26,0.68,0.0,0.0,14.2,0,0,0,1.4,1.4,0.14,-1.4,-1.4,983,es ESP,"FW,MF",es La Liga,21-352,2003.0,4.4,49,63,77.8,653,123,1,0.1,0.1,0.9,3,1,1,0,4,983,es ESP,"FW,MF",es La Liga,21-352,2003.0,4.4,63,62,1,1,0,0,2,0,0,0,0,0,49,0,1,983,es ESP,"FW,MF",es La Liga,21-352,2003.0,4.4,10,2.26,6,0,1,1,2,0,2,0.45,983,es ESP,"FW,MF",es La Liga,21-352,2003.0,4.4,3,2,1,2,0,4,50.0,2,5,2,3,2,5,2,0,983,es ESP,"FW,MF",es La Liga,21-352,2003.0,4.4,122,2,17,53,54,14,122,11,4,36.4,5,45.5,77,454,194,8,5,5,17,6,83,21,1184,es ESP,"FW,MF",es La Liga,21-352,2003.0,7,399.0,57,55.4,4.4,4,77.0,1,3,31.0,1,0.57,3,8,-5,-1.13,-0.85,3.7,7.7,-4.0,-0.91,983,es ESP,"FW,MF",es La Liga,21-352,2003.0,4.4,0,0,0,3,9,1,2,2,2,1,0,0,8,2,13,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Leeds United,ST,-,-,180,Spain
1600,Prosper Peter,ng NGA,FW,Angers,fr Ligue 1,18.0,2007.0,6,5,435.0,4.8,1,0,1,1,0,0,0,0,1.9,1.9,0.2,2.1,5,9,21,0.21,0.44,1600,ng NGA,FW,fr Ligue 1,18-058,2007.0,4.8,1,9,6,66.7,1.86,1.24,0.11,0.17,10.7,0,0,0,1.9,1.9,0.21,-0.9,-0.9,1600,ng NGA,FW,fr Ligue 1,18-058,2007.0,4.8,48,63,76.2,680,160,0,0.2,0.3,-0.2,3,6,2,0,9,1600,ng NGA,FW,fr Ligue 1,18-058,2007.0,4.8,63,50,13,0,1,0,0,0,0,0,0,0,48,0,1,1600,ng NGA,FW,fr Ligue 1,18-058,2007.0,4.8,8,1.66,6,0,0,1,1,0,0,0.0,1600,ng NGA,FW,fr Ligue 1,18-058,2007.0,4.8,3,1,1,1,1,0,,0,4,0,4,0,3,3,0,1600,ng NGA,FW,fr Ligue 1,18-058,2007.0,4.8,125,4,10,67,49,24,125,10,2,20.0,7,70.0,57,295,139,5,4,4,21,3,74,21,1968,ng NGA,FW,fr Ligue 1,18-058,2007.0,6,435.0,73,69.0,4.8,5,86.0,4,1,6.0,1,0.83,2,10,-8,-1.66,-1.66,5.5,10.8,-5.3,-1.09,1600,ng NGA,FW,fr Ligue 1,18-058,2007.0,4.8,0,0,0,6,10,9,0,0,1,0,0,0,8,9,14,39.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,CD Mafra,CB,ST,-,188,Nigeria
1707,Álvaro Rodríguez,uy URU,FW,Elche,es La Liga,21.0,2004.0,7,5,437.0,4.9,0,2,2,0,0,0,0,0,1.4,1.4,0.8,2.2,5,6,28,0.41,0.46,1707,uy URU,FW,es La Liga,21-084,2004.0,4.9,0,12,5,41.7,2.47,1.03,0.0,0.0,10.7,0,0,0,1.4,1.4,0.11,-1.4,-1.4,1707,uy URU,FW,es La Liga,21-084,2004.0,4.9,76,108,70.4,1023,222,2,0.8,0.2,1.2,5,5,2,0,6,1707,uy URU,FW,es La Liga,21-084,2004.0,4.9,108,105,2,0,0,2,1,0,0,0,0,0,76,1,1,1707,uy URU,FW,es La Liga,21-084,2004.0,4.9,10,2.07,6,0,2,2,0,0,3,0.62,1707,uy URU,FW,es La Liga,21-084,2004.0,4.9,1,1,0,1,0,3,33.3,2,3,0,3,0,1,8,0,1707,uy URU,FW,es La Liga,21-084,2004.0,4.9,167,8,15,76,80,18,167,21,11,52.4,10,47.6,98,497,174,5,9,3,13,9,136,28,2111,uy URU,FW,es La Liga,21-084,2004.0,7,437.0,62,60.7,4.9,5,80.0,2,2,19.0,0,1.43,5,6,-1,-0.21,-1.16,3.8,6.8,-3.0,-0.62,1707,uy URU,FW,es La Liga,21-084,2004.0,4.9,0,0,0,6,8,2,1,0,1,0,0,0,6,17,20,45.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Getafe,ST,-,-,193,Uruguay
2140,Kenan Yıldız,tr TUR,MF,Juventus,it Serie A,20.0,2005.0,6,6,515.0,5.7,1,3,4,1,0,0,0,0,0.4,0.4,1.8,2.2,27,25,44,0.7,0.39,2140,tr TUR,MF,it Serie A,20-155,2005.0,5.7,1,12,5,41.7,2.1,0.87,0.08,0.2,21.9,0,0,0,0.4,0.4,0.03,0.6,0.6,2140,tr TUR,MF,it Serie A,20-155,2005.0,5.7,193,243,79.4,2921,714,3,1.8,1.5,1.2,17,11,11,3,25,2140,tr TUR,MF,it Serie A,20-155,2005.0,5.7,243,212,30,6,2,0,28,8,16,5,1,0,193,1,5,2140,tr TUR,MF,it Serie A,20-155,2005.0,5.7,27,4.72,17,5,2,2,1,0,2,0.35,2140,tr TUR,MF,it Serie A,20-155,2005.0,5.7,6,0,0,5,1,5,60.0,2,2,0,2,2,8,3,1,2140,tr TUR,MF,it Serie A,20-155,2005.0,5.7,315,2,33,111,171,20,315,23,10,43.5,12,52.2,196,1201,650,27,15,13,17,9,230,44,2637,tr TUR,MF,it Serie A,20-155,2005.0,6,515.0,86,95.4,5.7,6,86.0,3,0,,0,2.0,9,5,4,0.7,0.7,6.9,5.4,1.5,0.26,2140,tr TUR,MF,it Serie A,20-155,2005.0,5.7,0,0,0,4,7,1,28,2,0,0,0,0,19,4,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Juventus,LW,ST,RW,187,Turkey
